diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,confidence
24,5,0,5,0.74,0.88,0.68,0.65
0,5,1,4,0.71,0.76,0.97,0.793
20,5,0,2,0.78,0.8,0.95,0.706
25,1,0,4,0.73,0.74,0.66,0.631
5,3,0,4,0.69,0.6,0.92,0.679
10,1,0,0,0.9,0.91,0.84,0.819
22,2,0,5,0.59,0.94,0.82,0.683
16,3,1,4,0.62,0.96,0.84,0.764
7,2,0,3,0.92,0.87,0.66,0.779
6,5,0,1,0.98,0.61,0.79,0.723
20,1,0,2,0.63,0.84,0.92,0.7
20,0,0,5,0.86,0.64,0.8,0.693
8,4,0,2,0.8,0.8,0.96,0.762
10,1,0,4,0.87,0.75,0.92,0.778
11,5,0,0,0.58,0.96,0.66,0.666
17,1,1,2,0.94,0.64,0.7,0.749
4,4,0,1,0.76,0.69,0.81,0.7
14,4,1,4,0.93,0.79,0.72,0.78
14,2,0,1,0.97,0.67,0.85,0.749
12,0,1,0,0.59,0.85,0.85,0.762
16,0,0,5,0.93,0.78,0.82,0.774
0,5,1,2,0.87,0.65,0.91,0.796
13,5,0,3,0.89,0.79,0.83,0.735
9,3,1,0,0.86,0.88,0.66,0.799
3,4,0,1,0.62,0.8,0.95,0.723
24,5,1,5,0.56,0.91,0.97,0.713
23,3,1,1,0.59,0.72,0.8,0.651
1,4,0,5,0.59,0.91,0.98,0.759
0,2,1,5,0.7,0.68,0.98,0.793
18,2,0,3,0.78,0.84,0.88,0.735
6,3,1,3,0.89,0.7,0.86,0.804
19,4,1,4,0.8,0.87,0.92,0.788
22,3,0,0,0.6,0.92,0.68,0.644
14,3,0,3,0.71,0.71,0.97,0.698
18,2,1,2,0.84,0.87,0.73,0.782
19,5,0,0,0.91,0.84,0.71,0.712
9,1,0,3,0.62,0.87,0.94,0.747
2,1,1,3,0.83,0.66,0.78,0.788
1,2,0,1,0.72,0.9,0.89,0.794
18,4,0,5,0.65,0.6,0.71,0.574
21,5,1,5,0.79,0.83,0.72,0.718
19,0,0,0,0.65,0.79,0.75,0.669
8,5,1,4,0.64,0.81,0.71,0.709
10,3,1,2,0.62,0.95,0.92,0.797
8,4,1,3,0.92,0.92,0.67,0.826
12,5,1,5,0.67,0.78,0.96,0.745
10,3,0,5,0.81,0.95,0.74,0.768
4,4,1,2,0.93,0.65,0.97,0.821
10,4,1,3,0.65,0.81,0.87,0.745
23,0,1,1,0.75,0.87,0.88,0.785
3,5,1,4,0.57,0.84,0.73,0.717
0,3,1,5,0.88,0.88,0.72,0.847
6,2,1,2,0.83,0.86,0.9,0.85
15,2,1,0,0.64,0.94,0.76,0.759
19,3,1,0,0.84,0.88,0.67,0.762
13,2,0,1,0.58,0.77,0.97,0.689
20,0,1,4,0.63,0.94,0.94,0.792
21,4,0,1,0.84,0.7,0.78,0.665
22,4,0,4,0.83,0.96,0.94,0.768
20,4,0,0,0.63,0.87,0.71,0.642
6,3,1,0,0.88,0.63,0.78,0.764
16,5,1,3,0.94,0.8,0.72,0.771
5,3,0,1,0.7,0.79,0.8,0.715
23,3,1,4,0.69,0.73,0.97,0.718
17,5,0,2,0.9,0.95,0.75,0.757
21,4,1,4,0.82,0.86,0.79,0.759
2,3,0,4,0.66,0.85,0.71,0.713
16,0,1,0,0.85,0.69,0.67,0.743
21,2,1,2,0.74,0.96,0.89,0.801
19,5,0,0,0.68,0.74,0.97,0.665
2,4,0,0,0.9,0.82,0.67,0.76
1,2,0,5,0.94,0.77,0.93,0.829
0,3,0,4,0.67,0.84,0.88,0.754
3,3,1,3,0.64,0.78,0.84,0.759
16,4,1,0,0.93,0.81,0.83,0.801
24,3,0,1,0.59,0.62,0.87,0.582
20,3,1,2,0.78,0.68,0.75,0.696
24,3,1,3,0.86,0.64,0.67,0.679
13,0,0,1,0.86,0.91,0.94,0.826
18,5,1,5,0.76,0.63,0.89,0.693
9,0,0,5,0.61,0.7,0.76,0.665
0,5,1,5,0.57,0.78,0.79,0.721
24,1,1,4,0.67,0.91,0.7,0.726
25,1,1,0,0.6,0.9,0.97,0.752
14,4,1,1,0.56,0.95,0.7,0.713
13,2,1,1,0.75,0.95,0.85,0.82
24,5,0,5,0.63,0.93,0.97,0.69
5,3,1,5,0.86,0.91,0.84,0.857
11,5,1,0,0.91,0.71,0.74,0.756
23,0,0,4,0.57,0.73,0.69,0.601
7,4,0,1,0.93,0.82,0.94,0.806
9,1,0,2,0.78,0.79,0.91,0.765
15,2,1,0,0.85,0.7,0.71,0.74
11,2,0,2,0.6,0.86,0.67,0.669
17,5,0,2,0.93,0.79,0.93,0.754
1,2,1,5,0.86,0.86,0.81,0.858
11,1,0,3,0.56,0.8,0.77,0.667
7,4,0,4,0.84,0.69,0.65,0.682
13,1,1,0,0.65,0.76,0.67,0.705
16,0,0,4,0.75,0.72,0.89,0.716
25,5,0,3,0.92,0.88,0.67,0.699
8,2,0,4,0.85,0.93,0.79,0.799
23,3,1,5,0.9,0.74,0.67,0.724
13,0,1,4,0.92,0.81,0.72,0.82
18,2,0,4,0.68,0.85,0.78,0.688
12,4,0,4,0.82,0.93,0.76,0.754
1,3,1,4,0.85,0.74,0.97,0.843
9,0,0,5,0.98,0.6,0.71,0.736
10,2,1,5,0.58,0.89,0.75,0.741
8,1,1,3,0.65,0.8,0.89,0.778
19,4,1,4,0.76,0.82,0.86,0.749
22,1,1,1,0.81,0.77,0.9,0.772
15,0,0,5,0.97,0.87,0.89,0.83
18,4,0,1,0.62,0.92,0.71,0.661
5,5,0,4,0.71,0.81,0.67,0.682
10,4,1,1,0.73,0.87,0.76,0.765
4,0,1,2,0.55,0.68,0.77,0.71
5,2,0,5,0.96,0.81,0.96,0.84
21,3,0,1,0.82,0.89,0.66,0.7
16,5,1,0,0.7,0.66,0.9,0.693
22,3,1,1,0.59,0.85,0.85,0.704
17,3,0,5,0.73,0.63,0.9,0.656
19,5,0,4,0.63,0.78,0.95,0.658
25,0,1,0,0.77,0.72,0.69,0.702
10,5,0,1,0.64,0.63,0.69,0.594
14,3,1,1,0.94,0.7,0.87,0.794
5,2,0,0,0.71,0.7,0.71,0.682
10,2,1,4,0.76,0.75,0.94,0.791
25,3,0,0,0.68,0.69,0.89,0.631
12,1,1,1,0.72,0.71,0.87,0.755
13,5,0,2,0.72,0.91,0.73,0.7
25,3,0,0,0.76,0.74,0.74,0.64
1,2,1,4,0.79,0.83,0.82,0.83
22,2,1,4,0.73,0.83,0.84,0.746
23,0,1,5,0.74,0.69,0.85,0.722
7,3,0,4,0.75,0.88,0.68,0.727
14,0,1,5,0.7,0.79,0.93,0.786
6,1,0,3,0.56,0.77,0.98,0.717
18,2,0,2,0.91,0.65,0.73,0.687
20,3,0,4,0.75,0.81,0.75,0.676
7,4,0,2,0.92,0.87,0.89,0.808
17,5,0,0,0.68,0.82,0.85,0.672
13,3,0,0,0.75,0.89,0.7,0.714
25,0,1,1,0.69,0.92,0.81,0.762
23,0,1,4,0.95,0.9,0.82,0.842
13,4,0,4,0.56,0.86,0.95,0.689
20,0,0,3,0.97,0.74,0.78,0.752
11,1,0,2,0.97,0.82,0.68,0.778
25,1,1,1,0.6,0.65,0.74,0.631
1,3,0,2,0.83,0.87,0.78,0.788
7,1,1,2,0.63,0.81,0.65,0.73
21,5,1,1,0.7,0.86,0.92,0.74
19,1,1,2,0.94,0.72,0.96,0.818
6,4,0,3,0.86,0.64,0.84,0.715
9,4,1,5,0.85,0.68,0.84,0.764
15,3,0,3,0.61,0.94,0.89,0.718
12,5,1,4,0.75,0.75,0.82,0.732
4,4,0,4,0.7,0.65,0.84,0.676
5,2,1,0,0.97,0.75,0.76,0.835
17,3,0,2,0.84,0.78,0.85,0.724
12,5,0,5,0.9,0.82,0.72,0.728
19,4,0,3,0.58,0.77,0.78,0.614
14,5,0,5,0.74,0.95,0.73,0.715
21,1,0,0,0.89,0.93,0.7,0.758
10,3,0,2,0.62,0.91,0.91,0.733
4,3,1,5,0.91,0.69,0.89,0.82
16,1,1,2,0.78,0.9,0.94,0.83
18,4,1,1,0.97,0.74,0.92,0.804
9,1,1,0,0.62,0.97,0.85,0.809
13,1,1,4,0.66,0.8,0.82,0.75
10,3,0,1,0.92,0.84,0.83,0.786
7,5,1,5,0.73,0.73,0.75,0.723
14,4,1,4,0.87,0.7,0.71,0.733
24,3,0,2,0.93,0.79,0.84,0.729
20,1,1,2,0.84,0.76,0.88,0.781
13,5,1,3,0.71,0.88,0.73,0.738
15,3,1,5,0.68,0.64,0.96,0.713
9,1,1,0,0.97,0.85,0.95,0.898
10,1,0,4,0.93,0.63,0.85,0.746
20,4,0,4,0.87,0.86,0.87,0.743
15,1,1,0,0.84,0.86,0.74,0.8
15,2,1,5,0.72,0.88,0.74,0.761
15,3,0,2,0.7,0.77,0.92,0.7
17,0,1,2,0.55,0.94,0.71,0.732
1,2,0,1,0.84,0.67,0.74,0.731
8,3,1,5,0.69,0.92,0.87,0.805
7,5,0,0,0.68,0.82,0.82,0.699
11,4,1,5,0.97,0.65,0.77,0.77
10,0,1,5,0.71,0.67,0.82,0.745
21,3,1,5,0.95,0.68,0.66,0.726
18,5,0,3,0.69,0.75,0.78,0.636
5,5,0,5,0.8,0.74,0.89,0.732
11,2,1,5,0.64,0.82,0.8,0.745
15,4,1,5,0.96,0.92,0.83,0.847
24,0,0,0,0.71,0.77,0.88,0.69
21,5,0,0,0.79,0.9,0.91,0.727
15,4,0,3,0.86,0.92,0.7,0.741
10,0,0,5,0.63,0.9,0.82,0.74
10,4,0,5,0.8,0.77,0.81,0.716
4,3,0,2,0.83,0.75,0.7,0.726
2,3,0,3,0.81,0.74,0.85,0.753
22,5,0,2,0.66,0.96,0.95,0.711
17,3,0,3,0.66,0.72,0.74,0.63
2,2,1,0,0.66,0.83,0.85,0.794
20,2,0,4,0.59,0.87,0.81,0.667
0,2,1,1,0.82,0.92,0.67,0.839
14,2,1,0,0.62,0.85,0.68,0.714
22,3,1,3,0.81,0.91,0.89,0.796
22,2,0,0,0.65,0.62,0.79,0.599
0,0,0,5,0.59,0.78,0.94,0.749
22,2,1,0,0.6,0.65,0.75,0.635
2,0,0,4,0.75,0.93,0.77,0.801
7,3,0,4,0.81,0.88,0.72,0.753
14,5,1,1,0.95,0.95,0.65,0.812
24,2,0,0,0.69,0.69,0.66,0.599
17,0,1,4,0.67,0.93,0.95,0.813
22,1,0,0,0.97,0.8,0.87,0.773
19,0,0,4,0.82,0.69,0.8,0.7
24,5,1,3,0.61,0.96,0.77,0.703
6,3,0,2,0.67,0.69,0.73,0.659
2,1,1,0,0.79,0.65,0.9,0.797
22,0,1,2,0.59,0.95,0.68,0.725
7,3,1,3,0.95,0.96,0.79,0.883
5,1,0,1,0.97,0.87,0.92,0.861
21,4,1,2,0.91,0.7,0.79,0.738
20,5,1,5,0.6,0.91,0.72,0.689
22,2,1,3,0.68,0.63,0.74,0.651
25,1,1,4,0.63,0.67,0.73,0.644
8,4,0,1,0.8,0.95,0.89,0.793
13,2,1,5,0.84,0.75,0.89,0.795
20,2,0,3,0.82,0.9,0.72,0.727
12,3,0,0,0.98,0.8,0.98,0.815
18,1,0,4,0.63,0.66,0.77,0.623
11,3,0,1,0.96,0.7,0.9,0.766
16,4,1,0,0.71,0.95,0.83,0.777
7,0,1,5,0.62,0.92,0.95,0.829
14,0,1,1,0.88,0.86,0.81,0.837
18,4,0,4,0.78,0.79,0.97,0.722
6,2,0,1,0.89,0.85,0.81,0.797
21,3,0,5,0.58,0.82,0.88,0.651
24,3,0,4,0.87,0.95,0.76,0.743
24,3,1,0,0.89,0.93,0.81,0.803
8,1,1,1,0.65,0.8,0.8,0.76
10,3,0,1,0.71,0.73,0.98,0.72
19,1,0,3,0.56,0.67,0.81,0.609
17,4,0,5,0.6,0.76,0.85,0.638
0,4,0,3,0.65,0.64,0.77,0.658
25,4,0,0,0.67,0.77,0.79,0.623
25,1,1,0,0.89,0.88,0.8,0.799
18,3,1,2,0.86,0.68,0.73,0.723
0,4,1,3,0.92,0.82,0.65,0.819
5,3,0,2,0.68,0.74,0.72,0.678
17,0,0,2,0.89,0.91,0.96,0.825
4,3,0,2,0.83,0.91,0.96,0.826
5,3,1,2,0.78,0.67,0.79,0.751
6,3,0,2,0.74,0.73,0.76,0.698
1,3,1,5,0.82,0.78,0.73,0.798
10,0,1,2,0.57,0.83,0.97,0.781
3,3,0,4,0.95,0.87,0.82,0.825
12,3,0,1,0.58,0.6,0.83,0.605
5,5,1,3,0.75,0.74,0.69,0.727
8,4,1,1,0.65,0.87,0.77,0.75
20,5,1,0,0.6,0.83,0.84,0.689
12,3,1,0,0.56,0.97,0.98,0.79
22,1,0,3,0.94,0.81,0.74,0.741
5,3,0,0,0.96,0.89,0.94,0.851
3,0,1,2,0.55,0.67,0.75,0.706
12,4,0,1,0.7,0.7,0.95,0.687
16,0,1,3,0.92,0.81,0.94,0.854
24,5,1,3,0.65,0.75,0.82,0.662
13,1,1,1,0.79,0.81,0.78,0.784
20,4,1,5,0.71,0.77,0.67,0.678
24,3,1,5,0.71,0.64,0.88,0.676
25,0,1,2,0.78,0.79,0.95,0.778
21,4,1,0,0.71,0.94,0.87,0.766
24,5,0,1,0.61,0.62,0.83,0.563
10,5,1,5,0.67,0.79,0.72,0.707
4,3,0,5,0.58,0.77,0.74,0.665
7,3,1,4,0.7,0.77,0.76,0.745
21,4,1,2,0.62,0.6,0.86,0.635
8,5,1,0,0.95,0.76,0.92,0.829
18,4,1,3,0.67,0.65,0.97,0.697
25,5,1,1,0.59,0.61,0.69,0.573
9,1,1,1,0.89,0.86,0.9,0.867
6,1,1,5,0.81,0.97,0.86,0.878
2,0,1,4,0.74,0.74,0.86,0.809
23,3,0,4,0.56,0.66,0.88,0.59
19,0,0,5,0.72,0.76,0.92,0.715
2,1,1,1,0.92,0.91,0.79,0.892
19,2,0,0,0.6,0.63,0.71,0.581
17,2,1,5,0.82,0.79,0.9,0.79
12,2,0,4,0.67,0.79,0.67,0.665
11,3,1,4,0.81,0.64,0.81,0.735
4,5,1,0,0.78,0.84,0.73,0.777
20,4,1,4,0.71,0.82,0.88,0.735
18,1,0,4,0.88,0.87,0.87,0.781
19,2,0,4,0.57,0.75,0.73,0.612
16,5,1,3,0.82,0.61,0.93,0.72
18,4,0,2,0.71,0.6,0.9,0.63
2,3,0,3,0.78,0.94,0.65,0.764
13,2,1,4,0.84,0.82,0.91,0.82
13,3,0,4,0.66,0.6,0.96,0.652
6,3,1,4,0.77,0.93,0.82,0.829
22,5,0,5,0.97,0.73,0.65,0.675
21,2,0,0,0.73,0.87,0.89,0.721
14,1,1,4,0.83,0.78,0.72,0.772
9,2,1,4,0.92,0.96,0.94,0.905
17,3,0,1,0.97,0.64,0.84,0.719
15,2,0,2,0.94,0.91,0.9,0.818
12,1,0,0,0.72,0.91,0.92,0.775
6,2,0,2,0.94,0.72,0.81,0.773
24,0,0,3,0.92,0.96,0.66,0.766
4,1,1,0,0.55,0.9,0.73,0.759
20,1,1,5,0.93,0.92,0.96,0.872
10,1,1,2,0.64,0.71,0.86,0.735
25,5,1,1,0.73,0.71,0.76,0.659
7,2,1,5,0.73,0.93,0.85,0.828
24,1,1,3,0.82,0.6,0.85,0.708
11,3,0,0,0.93,0.89,0.72,0.778
21,0,0,4,0.67,0.65,0.91,0.658
22,0,1,5,0.69,0.82,0.97,0.774
11,5,1,5,0.7,0.8,0.83,0.738
6,3,0,0,0.78,0.78,0.65,0.703
18,3,0,4,0.75,0.74,0.73,0.658
0,1,0,1,0.63,0.7,0.67,0.675
14,3,0,1,0.92,0.83,0.89,0.781
6,0,1,0,0.74,0.76,0.84,0.798
13,5,0,3,0.72,0.93,0.97,0.754
25,2,0,0,0.83,0.88,0.71,0.705
20,4,0,5,0.81,0.74,0.73,0.661
8,4,1,3,0.91,0.87,0.69,0.812
5,5,1,0,0.87,0.92,0.83,0.845
25,2,1,3,0.95,0.78,0.82,0.783
16,3,0,3,0.83,0.75,0.95,0.736
17,1,0,4,0.67,0.77,0.79,0.675
7,0,0,4,0.75,0.67,0.87,0.727
21,2,1,1,0.96,0.84,0.71,0.795
4,3,0,1,0.63,0.78,0.8,0.695
14,2,1,3,0.58,0.67,0.81,0.674
14,2,0,5,0.6,0.68,0.74,0.619
24,0,1,4,0.65,0.92,0.81,0.753
14,1,1,5,0.81,0.81,0.83,0.797
3,5,0,0,0.65,0.83,0.78,0.698
23,5,1,3,0.55,0.64,0.96,0.631
24,3,0,1,0.86,0.85,0.93,0.744
6,3,1,1,0.61,0.68,0.9,0.722
6,2,0,0,0.59,0.95,0.67,0.709
0,4,0,0,0.68,0.9,0.95,0.781
0,2,1,5,0.79,0.72,0.69,0.774
12,4,1,3,0.77,0.62,0.68,0.68
16,4,0,3,0.74,0.87,0.94,0.734
4,5,1,4,0.69,0.96,0.79,0.798
20,4,1,2,0.81,0.69,0.95,0.74
7,0,0,3,0.92,0.9,0.7,0.813
8,1,1,3,0.61,0.82,0.78,0.75
2,1,0,5,0.63,0.93,0.7,0.743
5,1,1,5,0.71,0.92,0.96,0.856
16,3,0,2,0.86,0.68,0.69,0.672
16,4,1,1,0.85,0.96,0.77,0.81
5,1,0,4,0.56,0.65,0.72,0.632
0,1,1,4,0.7,0.94,0.94,0.872
19,1,1,2,0.83,0.61,0.77,0.714
1,5,0,4,0.56,0.96,0.96,0.753
8,0,0,0,0.85,0.73,0.83,0.763
8,4,1,1,0.68,0.87,0.88,0.781
17,0,0,2,0.81,0.65,0.85,0.701
0,5,0,3,0.8,0.74,0.72,0.714
17,1,1,4,0.59,0.78,0.75,0.696
5,0,1,0,0.59,0.73,0.76,0.731
13,5,0,4,0.6,0.77,0.73,0.622
13,1,0,0,0.89,0.67,0.9,0.746
7,3,0,2,0.97,0.69,0.82,0.764
24,5,1,5,0.77,0.88,0.96,0.765
3,2,1,2,0.73,0.62,0.98,0.774
12,0,0,3,0.78,0.68,0.85,0.718
14,1,1,0,0.69,0.92,0.65,0.758
2,4,1,1,0.93,0.8,0.66,0.811
1,3,1,3,0.92,0.93,0.73,0.873
10,5,1,2,0.62,0.89,0.8,0.738
12,3,1,4,0.91,0.62,0.82,0.758
22,4,1,2,0.77,0.85,0.71,0.721
18,0,1,0,0.63,0.81,0.74,0.72
5,2,1,1,0.98,0.61,0.95,0.834
8,4,1,0,0.94,0.65,0.74,0.765
8,0,1,4,0.77,0.64,0.7,0.736
17,0,1,2,0.85,0.76,0.68,0.762
1,3,1,1,0.73,0.91,0.94,0.852
9,3,0,3,0.96,0.97,0.77,0.828
23,1,1,1,0.61,0.76,0.68,0.662
8,0,0,4,0.91,0.74,0.91,0.8
25,2,1,5,0.65,0.61,0.84,0.646
17,1,1,3,0.58,0.83,0.67,0.692
2,5,0,3,0.89,0.62,0.88,0.731
10,4,0,4,0.93,0.64,0.86,0.726
9,1,1,3,0.61,0.6,0.74,0.673
19,1,1,0,0.65,0.73,0.89,0.72
3,4,1,5,0.8,0.88,0.85,0.831
13,0,0,1,0.78,0.92,0.88,0.793
