diff_count,semantic_issues,compile_success,risk_score,token_similarity,ast_similarity,structure_similarity,accuracy
25,2,1,4,0.59,0.78,0.66,66
18,4,0,2,0.74,0.71,0.73,43
17,2,1,4,0.97,0.91,0.91,79
25,0,0,4,0.87,0.66,0.68,44
20,0,1,1,0.84,0.97,0.81,94
19,3,0,4,0.58,0.7,0.72,47
13,4,1,3,0.66,0.74,0.81,72
12,4,1,2,0.64,0.64,0.88,76
5,2,1,1,0.59,0.63,0.91,95
23,2,0,3,0.78,0.87,0.84,52
4,1,0,2,0.75,0.7,0.85,66
9,4,1,4,0.73,0.97,0.69,75
11,0,1,5,0.89,0.97,0.67,90
17,2,0,1,0.92,0.8,0.74,60
0,0,1,2,0.57,0.89,0.72,100
15,3,1,5,0.83,0.88,0.92,72
13,2,1,2,0.97,0.76,0.72,86
17,1,1,1,0.71,0.74,0.88,90
12,5,1,5,0.78,0.82,0.82,63
25,1,1,2,0.7,0.93,0.67,79
14,4,1,1,0.76,0.61,0.73,76
10,0,0,4,0.87,0.68,0.81,62
24,0,1,3,0.56,0.68,0.94,81
23,0,0,2,0.88,0.93,0.98,64
3,0,1,1,0.63,0.71,0.76,100
9,2,0,1,0.72,0.84,0.72,71
14,3,0,5,0.56,0.8,0.73,41
14,2,1,0,0.69,0.78,0.69,90
21,2,0,5,0.76,0.87,0.77,44
19,0,0,5,0.87,0.94,0.95,53
3,4,1,2,0.93,0.61,0.74,85
5,5,0,0,0.62,0.76,0.66,55
23,1,1,4,0.67,0.71,0.67,73
14,5,1,3,0.91,0.73,0.85,67
9,1,0,2,0.58,0.75,0.83,61
20,4,1,5,0.58,0.61,0.72,57
4,4,1,4,0.77,0.64,0.73,77
14,4,0,3,0.95,0.73,0.84,53
17,5,1,3,0.8,0.75,0.93,65
12,1,0,1,0.61,0.8,0.93,66
17,1,0,0,0.94,0.95,0.73,61
10,0,0,5,0.95,0.89,0.88,62
20,2,1,1,0.81,0.81,0.96,83
23,3,0,2,0.93,0.76,0.67,45
9,4,1,4,0.67,0.73,0.84,73
22,2,0,5,0.85,0.86,0.76,42
25,4,0,3,0.67,0.64,0.95,35
19,3,0,0,0.61,0.65,0.78,44
8,0,0,3,0.67,0.9,0.84,71
4,3,1,1,0.71,0.92,0.84,94
18,3,1,3,0.81,0.85,0.65,73
19,0,1,1,0.72,0.66,0.93,92
5,0,1,0,0.98,0.65,0.86,100
23,1,0,2,0.79,0.87,0.92,50
10,1,1,4,0.78,0.86,0.93,89
19,5,0,1,0.91,0.61,0.84,36
1,4,0,0,0.91,0.79,0.72,68
19,1,0,2,0.97,0.94,0.68,66
10,3,0,1,0.56,0.93,0.74,62
2,0,0,5,0.73,0.91,0.73,63
13,4,0,0,0.83,0.91,0.8,51
18,0,0,5,0.87,0.97,0.8,56
3,3,1,1,0.87,0.83,0.72,94
0,4,1,5,0.62,0.81,0.87,80
23,2,0,3,0.59,0.68,0.73,43
22,5,1,2,0.84,0.76,0.93,63
3,1,1,1,0.77,0.63,0.95,100
19,2,0,0,0.86,0.92,0.68,57
10,1,0,4,0.78,0.71,0.78,62
23,4,1,1,0.68,0.97,0.89,70
13,0,0,0,0.73,0.9,0.81,77
15,5,0,2,0.72,0.61,0.78,35
13,0,1,0,0.79,0.96,0.7,100
3,2,1,4,0.61,0.71,0.77,88
3,3,1,3,0.77,0.75,0.84,88
23,5,0,4,0.92,0.62,0.9,35
16,0,1,0,0.65,0.7,0.68,97
25,3,1,0,0.87,0.76,0.86,76
8,5,0,0,0.69,0.71,0.74,56
1,2,0,0,0.97,0.62,0.68,81
25,2,1,0,0.84,0.61,0.94,80
2,3,0,0,0.76,0.71,0.66,62
23,4,0,4,0.78,0.79,0.88,35
4,4,1,5,0.75,0.64,0.84,75
11,0,0,3,0.89,0.89,0.82,70
7,5,1,1,0.65,0.75,0.93,80
2,3,1,5,0.98,0.67,0.68,82
19,3,0,1,0.96,0.79,0.81,59
0,1,1,3,0.79,0.88,0.71,100
21,0,1,3,0.92,0.73,0.71,85
25,0,1,1,0.88,0.82,0.89,88
7,4,0,2,0.84,0.87,0.65,47
18,2,1,0,0.73,0.94,0.86,88
3,5,0,5,0.87,0.73,0.95,39
20,4,1,2,0.9,0.81,0.68,69
18,4,1,3,0.87,0.63,0.73,67
18,3,0,1,0.69,0.9,0.9,52
5,0,1,5,0.69,0.65,0.94,94
24,5,0,5,0.74,0.88,0.68,35
0,5,1,4,0.71,0.76,0.97,78
20,5,0,2,0.78,0.8,0.95,35
25,1,0,4,0.73,0.74,0.66,40
5,3,0,4,0.69,0.6,0.92,49
10,1,0,0,0.9,0.91,0.84,70
22,2,0,5,0.59,0.94,0.82,40
16,3,1,4,0.62,0.96,0.84,73
7,2,0,3,0.92,0.87,0.66,59
6,5,0,1,0.98,0.61,0.79,46
20,1,0,2,0.63,0.84,0.92,61
20,0,0,5,0.86,0.64,0.8,53
8,4,0,2,0.8,0.8,0.96,62
10,1,0,4,0.87,0.75,0.92,62
11,5,0,0,0.58,0.96,0.66,55
17,1,1,2,0.94,0.64,0.7,86
4,4,0,1,0.76,0.69,0.81,67
14,4,1,4,0.93,0.79,0.72,69
14,2,0,1,0.97,0.67,0.85,58
12,0,1,0,0.59,0.85,0.85,100
16,0,0,5,0.93,0.78,0.82,58
0,5,1,2,0.87,0.65,0.91,84
13,5,0,3,0.89,0.79,0.83,48
9,3,1,0,0.86,0.88,0.66,91
3,4,0,1,0.62,0.8,0.95,68
24,5,1,5,0.56,0.91,0.97,52
23,3,1,1,0.59,0.72,0.8,73
1,4,0,5,0.59,0.91,0.98,55
0,2,1,5,0.7,0.68,0.98,90
18,2,0,3,0.78,0.84,0.88,48
6,3,1,3,0.89,0.7,0.86,85
19,4,1,4,0.8,0.87,0.92,65
22,3,0,0,0.6,0.92,0.68,48
14,3,0,3,0.71,0.71,0.97,46
18,2,1,2,0.84,0.87,0.73,82
19,5,0,0,0.91,0.84,0.71,46
9,1,0,3,0.62,0.87,0.94,72
2,1,1,3,0.83,0.66,0.78,98
1,2,0,1,0.72,0.9,0.89,76
18,4,0,5,0.65,0.6,0.71,35
21,5,1,5,0.79,0.83,0.72,54
19,0,0,0,0.65,0.79,0.75,66
8,5,1,4,0.64,0.81,0.71,69
10,3,1,2,0.62,0.95,0.92,85
8,4,1,3,0.92,0.92,0.67,79
12,5,1,5,0.67,0.78,0.96,63
10,3,0,5,0.81,0.95,0.74,41
4,4,1,2,0.93,0.65,0.97,86
10,4,1,3,0.65,0.81,0.87,76
23,0,1,1,0.75,0.87,0.88,90
3,5,1,4,0.57,0.84,0.73,74
0,3,1,5,0.88,0.88,0.72,86
6,2,1,2,0.83,0.86,0.9,94
15,2,1,0,0.64,0.94,0.76,90
19,3,1,0,0.84,0.88,0.67,81
13,2,0,1,0.58,0.77,0.97,62
20,0,1,4,0.63,0.94,0.94,84
21,4,0,1,0.84,0.7,0.78,44
22,4,0,4,0.83,0.96,0.94,36
20,4,0,0,0.63,0.87,0.71,43
6,3,1,0,0.88,0.63,0.78,93
16,5,1,3,0.94,0.8,0.72,65
5,3,0,1,0.7,0.79,0.8,65
23,3,1,4,0.69,0.73,0.97,65
17,5,0,2,0.9,0.95,0.75,44
21,4,1,4,0.82,0.86,0.79,63
2,3,0,4,0.66,0.85,0.71,56
16,0,1,0,0.85,0.69,0.67,98
21,2,1,2,0.74,0.96,0.89,80
19,5,0,0,0.68,0.74,0.97,46
2,4,0,0,0.9,0.82,0.67,72
1,2,0,5,0.94,0.77,0.93,60
0,3,0,4,0.67,0.84,0.88,55
3,3,1,3,0.64,0.78,0.84,87
16,4,1,0,0.93,0.81,0.83,80
24,3,0,1,0.59,0.62,0.87,44
20,3,1,2,0.78,0.68,0.75,73
24,3,1,3,0.86,0.64,0.67,65
13,0,0,1,0.86,0.91,0.94,74
18,5,1,5,0.76,0.63,0.89,56
9,0,0,5,0.61,0.7,0.76,55
0,5,1,5,0.57,0.78,0.79,74
24,1,1,4,0.67,0.91,0.7,74
25,1,1,0,0.6,0.9,0.97,86
14,4,1,1,0.56,0.95,0.7,78
13,2,1,1,0.75,0.95,0.85,90
24,5,0,5,0.63,0.93,0.97,35
5,3,1,5,0.86,0.91,0.84,82
11,5,1,0,0.91,0.71,0.74,79
23,0,0,4,0.57,0.73,0.69,44
7,4,0,1,0.93,0.82,0.94,55
9,1,0,2,0.78,0.79,0.91,64
15,2,1,0,0.85,0.7,0.71,89
11,2,0,2,0.6,0.86,0.67,63
17,5,0,2,0.93,0.79,0.93,40
1,2,1,5,0.86,0.86,0.81,90
11,1,0,3,0.56,0.8,0.77,59
7,4,0,4,0.84,0.69,0.65,48
13,1,1,0,0.65,0.76,0.67,95
16,0,0,4,0.75,0.72,0.89,54
25,5,0,3,0.92,0.88,0.67,35
8,2,0,4,0.85,0.93,0.79,66
23,3,1,5,0.9,0.74,0.67,61
13,0,1,4,0.92,0.81,0.72,90
18,2,0,4,0.68,0.85,0.78,52
12,4,0,4,0.82,0.93,0.76,40
1,3,1,4,0.85,0.74,0.97,88
9,0,0,5,0.98,0.6,0.71,65
10,2,1,5,0.58,0.89,0.75,80
8,1,1,3,0.65,0.8,0.89,93
19,4,1,4,0.76,0.82,0.86,65
22,1,1,1,0.81,0.77,0.9,86
15,0,0,5,0.97,0.87,0.89,56
18,4,0,1,0.62,0.92,0.71,50
5,5,0,4,0.71,0.81,0.67,37
10,4,1,1,0.73,0.87,0.76,82
4,0,1,2,0.55,0.68,0.77,100
5,2,0,5,0.96,0.81,0.96,58
21,3,0,1,0.82,0.89,0.66,43
16,5,1,0,0.7,0.66,0.9,73
22,3,1,1,0.59,0.85,0.85,75
17,3,0,5,0.73,0.63,0.9,38
19,5,0,4,0.63,0.78,0.95,35
25,0,1,0,0.77,0.72,0.69,89
10,5,0,1,0.64,0.63,0.69,45
14,3,1,1,0.94,0.7,0.87,84
5,2,0,0,0.71,0.7,0.71,63
10,2,1,4,0.76,0.75,0.94,83
25,3,0,0,0.68,0.69,0.89,51
12,1,1,1,0.72,0.71,0.87,94
13,5,0,2,0.72,0.91,0.73,42
25,3,0,0,0.76,0.74,0.74,44
1,2,1,4,0.79,0.83,0.82,93
22,2,1,4,0.73,0.83,0.84,71
23,0,1,5,0.74,0.69,0.85,76
7,3,0,4,0.75,0.88,0.68,51
14,0,1,5,0.7,0.79,0.93,86
6,1,0,3,0.56,0.77,0.98,67
18,2,0,2,0.91,0.65,0.73,46
20,3,0,4,0.75,0.81,0.75,45
7,4,0,2,0.92,0.87,0.89,55
17,5,0,0,0.68,0.82,0.85,47
13,3,0,0,0.75,0.89,0.7,53
25,0,1,1,0.69,0.92,0.81,88
23,0,1,4,0.95,0.9,0.82,82
13,4,0,4,0.56,0.86,0.95,36
20,0,0,3,0.97,0.74,0.78,56
11,1,0,2,0.97,0.82,0.68,59
25,1,1,1,0.6,0.65,0.74,80
1,3,0,2,0.83,0.87,0.78,60
7,1,1,2,0.63,0.81,0.65,96
21,5,1,1,0.7,0.86,0.92,67
19,1,1,2,0.94,0.72,0.96,86
6,4,0,3,0.86,0.64,0.84,45
9,4,1,5,0.85,0.68,0.84,71
15,3,0,3,0.61,0.94,0.89,44
12,5,1,4,0.75,0.75,0.82,66
4,4,0,4,0.7,0.65,0.84,47
5,2,1,0,0.97,0.75,0.76,100
17,3,0,2,0.84,0.78,0.85,57
12,5,0,5,0.9,0.82,0.72,35
19,4,0,3,0.58,0.77,0.78,35
14,5,0,5,0.74,0.95,0.73,36
21,1,0,0,0.89,0.93,0.7,60
10,3,0,2,0.62,0.91,0.91,55
4,3,1,5,0.91,0.69,0.89,81
16,1,1,2,0.78,0.9,0.94,90
18,4,1,1,0.97,0.74,0.92,75
9,1,1,0,0.62,0.97,0.85,100
13,1,1,4,0.66,0.8,0.82,85
10,3,0,1,0.92,0.84,0.83,63
7,5,1,5,0.73,0.73,0.75,67
14,4,1,4,0.87,0.7,0.71,68
24,3,0,2,0.93,0.79,0.84,43
20,1,1,2,0.84,0.76,0.88,85
13,5,1,3,0.71,0.88,0.73,68
15,3,1,5,0.68,0.64,0.96,69
9,1,1,0,0.97,0.85,0.95,100
10,1,0,4,0.93,0.63,0.85,55
20,4,0,4,0.87,0.86,0.87,42
15,1,1,0,0.84,0.86,0.74,96
15,2,1,5,0.72,0.88,0.74,75
15,3,0,2,0.7,0.77,0.92,59
17,0,1,2,0.55,0.94,0.71,92
1,2,0,1,0.84,0.67,0.74,75
8,3,1,5,0.69,0.92,0.87,78
7,5,0,0,0.68,0.82,0.82,52
11,4,1,5,0.97,0.65,0.77,69
10,0,1,5,0.71,0.67,0.82,89
21,3,1,5,0.95,0.68,0.66,63
18,5,0,3,0.69,0.75,0.78,35
5,5,0,5,0.8,0.74,0.89,44
11,2,1,5,0.64,0.82,0.8,79
15,4,1,5,0.96,0.92,0.83,67
24,0,0,0,0.71,0.77,0.88,67
21,5,0,0,0.79,0.9,0.91,44
15,4,0,3,0.86,0.92,0.7,50
10,0,0,5,0.63,0.9,0.82,67
10,4,0,5,0.8,0.77,0.81,45
4,3,0,2,0.83,0.75,0.7,62
2,3,0,3,0.81,0.74,0.85,64
22,5,0,2,0.66,0.96,0.95,35
17,3,0,3,0.66,0.72,0.74,40
2,2,1,0,0.66,0.83,0.85,100
20,2,0,4,0.59,0.87,0.81,49
0,2,1,1,0.82,0.92,0.67,100
14,2,1,0,0.62,0.85,0.68,90
22,3,1,3,0.81,0.91,0.89,71
22,2,0,0,0.65,0.62,0.79,46
0,0,0,5,0.59,0.78,0.94,70
22,2,1,0,0.6,0.65,0.75,81
2,0,0,4,0.75,0.93,0.77,78
7,3,0,4,0.81,0.88,0.72,61
14,5,1,1,0.95,0.95,0.65,74
24,2,0,0,0.69,0.69,0.66,48
17,0,1,4,0.67,0.93,0.95,87
22,1,0,0,0.97,0.8,0.87,58
19,0,0,4,0.82,0.69,0.8,62
24,5,1,3,0.61,0.96,0.77,57
6,3,0,2,0.67,0.69,0.73,58
2,1,1,0,0.79,0.65,0.9,100
22,0,1,2,0.59,0.95,0.68,87
7,3,1,3,0.95,0.96,0.79,86
5,1,0,1,0.97,0.87,0.92,73
21,4,1,2,0.91,0.7,0.79,68
20,5,1,5,0.6,0.91,0.72,55
22,2,1,3,0.68,0.63,0.74,72
25,1,1,4,0.63,0.67,0.73,71
8,4,0,1,0.8,0.95,0.89,52
13,2,1,5,0.84,0.75,0.89,78
20,2,0,3,0.82,0.9,0.72,53
12,3,0,0,0.98,0.8,0.98,68
18,1,0,4,0.63,0.66,0.77,54
11,3,0,1,0.96,0.7,0.9,60
16,4,1,0,0.71,0.95,0.83,80
7,0,1,5,0.62,0.92,0.95,94
14,0,1,1,0.88,0.86,0.81,99
18,4,0,4,0.78,0.79,0.97,46
6,2,0,1,0.89,0.85,0.81,72
21,3,0,5,0.58,0.82,0.88,35
24,3,0,4,0.87,0.95,0.76,35
24,3,1,0,0.89,0.93,0.81,78
8,1,1,1,0.65,0.8,0.8,98
10,3,0,1,0.71,0.73,0.98,65
19,1,0,3,0.56,0.67,0.81,59
17,4,0,5,0.6,0.76,0.85,35
0,4,0,3,0.65,0.64,0.77,49
25,4,0,0,0.67,0.77,0.79,40
25,1,1,0,0.89,0.88,0.8,86
18,3,1,2,0.86,0.68,0.73,75
0,4,1,3,0.92,0.82,0.65,86
5,3,0,2,0.68,0.74,0.72,54
17,0,0,2,0.89,0.91,0.96,65
4,3,0,2,0.83,0.91,0.96,59
5,3,1,2,0.78,0.67,0.79,88
6,3,0,2,0.74,0.73,0.76,61
1,3,1,5,0.82,0.78,0.73,84
10,0,1,2,0.57,0.83,0.97,99
3,3,0,4,0.95,0.87,0.82,60
12,3,0,1,0.58,0.6,0.83,48
5,5,1,3,0.75,0.74,0.69,75
8,4,1,1,0.65,0.87,0.77,84
20,5,1,0,0.6,0.83,0.84,70
12,3,1,0,0.56,0.97,0.98,89
22,1,0,3,0.94,0.81,0.74,51
5,3,0,0,0.96,0.89,0.94,74
3,0,1,2,0.55,0.67,0.75,100
12,4,0,1,0.7,0.7,0.95,54
16,0,1,3,0.92,0.81,0.94,92
24,5,1,3,0.65,0.75,0.82,56
13,1,1,1,0.79,0.81,0.78,94
20,4,1,5,0.71,0.77,0.67,59
24,3,1,5,0.71,0.64,0.88,60
25,0,1,2,0.78,0.79,0.95,85
21,4,1,0,0.71,0.94,0.87,75
24,5,0,1,0.61,0.62,0.83,35
10,5,1,5,0.67,0.79,0.72,64
4,3,0,5,0.58,0.77,0.74,54
7,3,1,4,0.7,0.77,0.76,80
21,4,1,2,0.62,0.6,0.86,66
8,5,1,0,0.95,0.76,0.92,83
18,4,1,3,0.67,0.65,0.97,67
25,5,1,1,0.59,0.61,0.69,59
9,1,1,1,0.89,0.86,0.9,100
6,1,1,5,0.81,0.97,0.86,91
2,0,1,4,0.74,0.74,0.86,100
23,3,0,4,0.56,0.66,0.88,35
19,0,0,5,0.72,0.76,0.92,55
2,1,1,1,0.92,0.91,0.79,100
19,2,0,0,0.6,0.63,0.71,51
17,2,1,5,0.82,0.79,0.9,74
12,2,0,4,0.67,0.79,0.67,50
11,3,1,4,0.81,0.64,0.81,76
4,5,1,0,0.78,0.84,0.73,86
20,4,1,4,0.71,0.82,0.88,63
18,1,0,4,0.88,0.87,0.87,57
19,2,0,4,0.57,0.75,0.73,43
16,5,1,3,0.82,0.61,0.93,65
18,4,0,2,0.71,0.6,0.9,40
2,3,0,3,0.78,0.94,0.65,68
13,2,1,4,0.84,0.82,0.91,81
13,3,0,4,0.66,0.6,0.96,54
6,3,1,4,0.77,0.93,0.82,83
22,5,0,5,0.97,0.73,0.65,35
21,2,0,0,0.73,0.87,0.89,51
14,1,1,4,0.83,0.78,0.72,84
9,2,1,4,0.92,0.96,0.94,87
17,3,0,1,0.97,0.64,0.84,45
15,2,0,2,0.94,0.91,0.9,59
12,1,0,0,0.72,0.91,0.92,66
6,2,0,2,0.94,0.72,0.81,67
24,0,0,3,0.92,0.96,0.66,60
4,1,1,0,0.55,0.9,0.73,100
20,1,1,5,0.93,0.92,0.96,78
10,1,1,2,0.64,0.71,0.86,93
25,5,1,1,0.73,0.71,0.76,61
7,2,1,5,0.73,0.93,0.85,84
24,1,1,3,0.82,0.6,0.85,76
11,3,0,0,0.93,0.89,0.72,64
21,0,0,4,0.67,0.65,0.91,56
22,0,1,5,0.69,0.82,0.97,79
11,5,1,5,0.7,0.8,0.83,64
6,3,0,0,0.78,0.78,0.65,66
18,3,0,4,0.75,0.74,0.73,40
0,1,0,1,0.63,0.7,0.67,85
14,3,0,1,0.92,0.83,0.89,51
6,0,1,0,0.74,0.76,0.84,100
13,5,0,3,0.72,0.93,0.97,46
25,2,0,0,0.83,0.88,0.71,59
20,4,0,5,0.81,0.74,0.73,35
8,4,1,3,0.91,0.87,0.69,79
5,5,1,0,0.87,0.92,0.83,87
25,2,1,3,0.95,0.78,0.82,72
16,3,0,3,0.83,0.75,0.95,49
17,1,0,4,0.67,0.77,0.79,60
7,0,0,4,0.75,0.67,0.87,70
21,2,1,1,0.96,0.84,0.71,82
4,3,0,1,0.63,0.78,0.8,69
14,2,1,3,0.58,0.67,0.81,80
14,2,0,5,0.6,0.68,0.74,48
24,0,1,4,0.65,0.92,0.81,79
14,1,1,5,0.81,0.81,0.83,82
3,5,0,0,0.65,0.83,0.78,55
23,5,1,3,0.55,0.64,0.96,57
24,3,0,1,0.86,0.85,0.93,53
6,3,1,1,0.61,0.68,0.9,90
6,2,0,0,0.59,0.95,0.67,79
0,4,0,0,0.68,0.9,0.95,64
0,2,1,5,0.79,0.72,0.69,89
12,4,1,3,0.77,0.62,0.68,72
16,4,0,3,0.74,0.87,0.94,48
4,5,1,4,0.69,0.96,0.79,75
20,4,1,2,0.81,0.69,0.95,69
7,0,0,3,0.92,0.9,0.7,70
8,1,1,3,0.61,0.82,0.78,92
2,1,0,5,0.63,0.93,0.7,66
5,1,1,5,0.71,0.92,0.96,92
16,3,0,2,0.86,0.68,0.69,53
16,4,1,1,0.85,0.96,0.77,78
5,1,0,4,0.56,0.65,0.72,66
0,1,1,4,0.7,0.94,0.94,100
19,1,1,2,0.83,0.61,0.77,84
1,5,0,4,0.56,0.96,0.96,55
8,0,0,0,0.85,0.73,0.83,78
8,4,1,1,0.68,0.87,0.88,85
17,0,0,2,0.81,0.65,0.85,62
0,5,0,3,0.8,0.74,0.72,53
17,1,1,4,0.59,0.78,0.75,80
5,0,1,0,0.59,0.73,0.76,100
13,5,0,4,0.6,0.77,0.73,37
13,1,0,0,0.89,0.67,0.9,63
7,3,0,2,0.97,0.69,0.82,58
24,5,1,5,0.77,0.88,0.96,53
3,2,1,2,0.73,0.62,0.98,95
12,0,0,3,0.78,0.68,0.85,69
14,1,1,0,0.69,0.92,0.65,96
2,4,1,1,0.93,0.8,0.66,90
1,3,1,3,0.92,0.93,0.73,91
10,5,1,2,0.62,0.89,0.8,74
12,3,1,4,0.91,0.62,0.82,75
22,4,1,2,0.77,0.85,0.71,67
18,0,1,0,0.63,0.81,0.74,96
5,2,1,1,0.98,0.61,0.95,97
8,4,1,0,0.94,0.65,0.74,86
8,0,1,4,0.77,0.64,0.7,93
17,0,1,2,0.85,0.76,0.68,91
1,3,1,1,0.73,0.91,0.94,98
9,3,0,3,0.96,0.97,0.77,53
23,1,1,1,0.61,0.76,0.68,82
8,0,0,4,0.91,0.74,0.91,66
25,2,1,5,0.65,0.61,0.84,63
17,1,1,3,0.58,0.83,0.67,83
2,5,0,3,0.89,0.62,0.88,52
10,4,0,4,0.93,0.64,0.86,50
9,1,1,3,0.61,0.6,0.74,89
19,1,1,0,0.65,0.73,0.89,90
3,4,1,5,0.8,0.88,0.85,78
13,0,0,1,0.78,0.92,0.88,76
12,2,0,0,0.68,0.62,0.97,67
1,2,0,3,0.91,0.91,0.85,68
1,5,0,2,0.94,0.77,0.74,57
17,5,0,3,0.86,0.91,0.82,46
0,3,1,4,0.59,0.92,0.79,88
15,0,1,5,0.56,0.86,0.97,86
2,1,0,0,0.82,0.94,0.73,75
12,2,0,5,0.69,0.77,0.83,49
7,4,0,2,0.9,0.7,0.94,55
16,1,1,3,0.74,0.9,0.87,86
21,4,1,5,0.65,0.9,0.81,59
16,2,1,3,0.8,0.84,0.84,81
12,5,1,2,0.57,0.62,0.98,71
9,3,1,1,0.98,0.67,0.72,88
17,1,1,0,0.61,0.72,0.94,92
25,2,0,2,0.56,0.89,0.91,42
2,4,1,4,0.9,0.7,0.87,81
0,2,0,0,0.78,0.71,0.86,77
10,5,0,0,0.97,0.93,0.7,56
5,0,1,2,0.72,0.61,0.97,100
21,4,1,5,0.56,0.83,0.7,58
19,0,1,2,0.91,0.91,0.87,92
17,2,1,2,0.79,0.89,0.82,83
25,3,0,5,0.79,0.93,0.85,35
5,4,0,0,0.65,0.93,0.8,65
1,4,0,4,0.95,0.73,0.89,48
4,5,0,3,0.7,0.87,0.75,50
14,5,0,1,0.79,0.65,0.94,38
19,2,0,4,0.6,0.68,0.78,40
3,5,0,4,0.72,0.66,0.9,43
19,2,0,4,0.8,0.97,0.78,47
22,4,0,2,0.71,0.95,0.8,41
0,1,1,4,0.55,0.91,0.92,99
17,3,1,0,0.75,0.87,0.73,83
8,4,0,0,0.66,0.92,0.95,58
14,5,0,4,0.63,0.64,0.68,40
21,0,1,0,0.57,0.93,0.66,93
21,3,1,4,0.81,0.83,0.83,68
25,5,1,5,0.81,0.87,0.76,51
10,2,0,0,0.9,0.93,0.67,69
11,1,0,3,0.79,0.8,0.73,63
23,4,1,0,0.62,0.89,0.83,72
9,3,0,4,0.64,0.71,0.96,44
14,3,1,5,0.88,0.61,0.7,69
9,4,1,4,0.97,0.78,0.86,75
14,2,1,0,0.79,0.64,0.71,89
10,0,0,1,0.82,0.86,0.94,82
3,3,0,4,0.72,0.62,0.7,57
14,1,0,2,0.81,0.89,0.88,57
22,2,0,2,0.94,0.82,0.97,58
21,0,1,1,0.68,0.73,0.7,89
11,3,1,1,0.85,0.79,0.77,86
4,0,1,1,0.76,0.96,0.72,100
